review_id_1,review_id_2,review_1,review_2,Expert Label:
16875,11664,i was always treated as an insider even though i wasn't a music major... i still get hugs when i go back after 10 years!!!,took him for my capstone. you have to buy and read several books. grading goes as follows attendance participation 3 exams each exam is a essay paper. expect to write 3 exams around 6 to 10 pages each. lectures are long and boing. if you read and participate you will do fine. he is a nice guy. not tech savy so no powerpoints. take notes. good luck!,2
7187,14752,she is so nice but so scattered brained,i'm not a major but i've always loved music and doctor [instructor] reawakened my love for choir. he really cares about his singers just be ready for quartets and remember it's not the end of the world if you have to go in for re sings.,2
5469,12053,he just doesn't know how to teach to a room of 100 kids. he relies completely on unclear vague powerpoints and his lectures are totally centered around describing studies. it's very boring and misleadingly difficult. also the tests are built around memorization. this class discouraged me from pursuing a topic that i had been very interested in.,super nerdy but super sweet.,1
13724,2236,he is a terrible professor and his grading system make almost every students in his class to get f. you will never get 100 from his project he will take off 33 percent of your grade by saying you do not meet design requirement which he make it on his own term. crazy professor. stay away!,[instructor] is awesome end of story. take him and don't look back. makes a tough subject easy. lectures reflect the test directly.,2
3712,13491,terrible prof! worst class i've ever had there was no point in attending class as he never talked about anything related to the course. loses track of what he is saying and frequently has to read out of textbook or his notes. refers too much to toronto area where he went to school. tests are bs noone ever knew what to study. students beware.,simply horrible. pedantic and narrow minded. dull dull dull. love phil and would've majored but for this ludicrous clown. and definitely not hot.,1
1675,19692,she's really funny but we don't get much done in class. memorize lecture notes and google keywords for essay fluffing. as a person she feels and believes heart on her sleeve sort. very approachable sorta boyish and grumpy but she smiles.,that was 1 easy class and she is definitely a fun person and a good teacher perhaps not perfectly organized... it would have been even more fun if the majority of the class hadn't been such idiots not paying attention not doing homework or reading the book and then whining about their grade! this is college and it's time to grow up!,2
15075,8429,[instructor] is a great person but the coir was just okay... i've had better expereinces and singing the same songs all semester sucks. but you gain some great friends and you get to sing so no complaining.,i took aas 100 last fall 2014 with the hope that it will be worth it. it wasn't. she was so unclear about so many things and there was even an instance when she told us what she wanted in our paper on the day it was due. she also throws occasionally insensitive comments out there so watch out. did i learn? yes but not from her.,2
3216,9364,okay [instructor] seems like a good guy. definitely not an easy or generous grader... his moods seem to change frequently sometimes he's really friendly other times he essentially will tell you have no concept of the english language whatsoever... this class was a lot of work for [institution]...,great class. all you have to do is show up and pay attention make sure you get the right notecards. i went to a performing arts school in middle school so i already knew most of the things but she does explain things really well and she is willing to help if you dont. the class was with about 200 other kids so go to her office hours if need be.,2
11446,1258,god is to creation as [instructor] is to awesomeness,avoid at all costs. nice person terrible teacher. i'm going to barely pass most of my classmates have to retake next semester. only copies problems from the books and gets irritated when was stopped to explain the steps. i spent a lot of time teaching myself from the book. her grading system is very arbitrary too,2
7107,14626,great professor. good guy. biology 112 was very easy and he made it very entertaining i never missed a lecture.,if he dislikes you you're screwed. he never responded to my emails.,1
11826,12548,easy a for sure administered the wrong exam twice to us. still made us take the correct exams. i'm sure she lost exam 2 because we still haven't received our grades and the semester is about to end. gets off topic definitely didn't feel like a 400 level course. she is a nice lady and accepts late work. 4 exams,easy class go to class participate. all u need is to write a ten page paper and give a presentation. its hard to read her to kno if she is happy or not with u. but still eary,2
1777,6109,i warn you don't get on his bad side... otherwise you're ruined.,i have struggled with this class this semester online. teacher requires you to sign in and respond to posts on 4 different days which kind of defeats the purpose of online classes and working at my schedule. terrible response time on emails. i have been waiting for a response on an assignment for a week now. whole class has same issue.,2
12640,6024,not a good teacher... this guy picks on you as well if he thinks you lack self esteem... he will pick on you on purpose just to impress the rest of the class.. he thinks he is pretty hot too which makes me laugh.,i really enjoyed doctor [instructor]'s class. she is there to help her students and cares about how you do in the class. you have homework every night and tests are weighted heavy but if you do the homework you should to good on tests. i would recommend her!!,2
12458,61,this guy's an ass.,he is very good. he likes to take the time to teach his students. he care's about how they do. if you don't understand something he is willing to actually help you. keeps class entertaining.,2
10478,16216,who hired this guy?! worst class i have ever taken. long tests dry illogical lectures he makes up words very hard 2 follow. he also changes what he says as if that's what he said all along including when assignments r due. wants u 2 memorize not learn. got an a but it was torture!,hott.... very hott... caries a picnic basket a lot... i dont know why... but not a good teacher... fun to look at but not a fun teacher.,1
16075,7544,oh man. i don't know how she got such good ratings. her voice makes you want to... hurt... things. every seen mrs doubtfire? she's like a mix of that and julia child. makes it hard to focus and i think she does it on purpose! i don't mean to be hateful... but you need the facts. don't take her. definitely. i even got a b and i'm sayin this!,absolutely the most caring and knowledgeable professor i have ever had! boy! does he know how to teach!,2
15039,19814,avoid her! [profanity] i couldn't stand her!!! she thinks she is funny but she isn't!!! i wish she is dead! [profanity],he isnt very structured which makes it hard to write notes. there are no powerpoints. a lot of pointless examples? he tries to make jokes that arent funny. i'd prefer someone else. there are example test questions which are very helpful but the in class questions do not have answers unless you get them when you go to class.,2
18884,16747,doctor [instructor] was absolutely awesome. if you were in her class you walked a straight line. at the same time i saw the passion she had for teaching and nursing as well. today 12 years after my nursing ceremony at [institution] i thank her for being who she is and for believing in me. thank you. doctor [instructor]. she was simply marvelous!,i learned a lot in her class but it was very difficult and she was often unclear about instructions. i had to check out books from the library on my own to do her papers. pick someone else,1
11940,18429,[instructor] is an awesome teacher! i love the way he speaks and lectures. he makes classes fun and enjoyable. he will turn the book that is filled with definitions to concepts that are easy to understand. i highly recommend him.,i had him for an internship advisor.... he made me not want to do anything in psychology. he shoots down your dreams,1
914,19238,[instructor] is a nice guy and he knows math rather well. however due to his accent it is hard to understand him very well and it is hard to learn from it. he does not respond to emails very quickly and he loses some assignments if you turn them in outside of class. he tries to have a sense of humor but its more dad jokes really..,the reading assignments were ridiculously long and a lot of them were very dry. but after the first few classes you realized that he gives a synopsis of the assignment every day so you don't really have to read them all. he's very popular during office hours so get therer early and be prepared to wait.,2
16882,18070,doctor [instructor] is an amazing professor! she wont give you the class on a silver platter but when all is said and done you will be very grateful. heres a hint she emails the slideshows to you so take notes on what she says not whats on the slide. also make sure you ask questions! it will help you remember! i promise,i love her! my boyfriend is in the navy and when i asked for a week off she told me,1
8397,6797,she is so sweet and understanding!,this class involves a lot of reading. in class you grade yourself on how well you prepared for that day. you actually do that quite often. his grading scale is not the regular scale a 94 percent is an a and a 91 percent is a b. he chooses favorites. it was an alright class but i didn't really get anything out of it.,2
11515,15280,he is very selfish and arrogant. on one occasion he threatened to put a curse on everyone not kidding. in my opinion he puts a black mark on [institution]. i would strongly advise anyone considering [institution] to avoid [instructor].,very disorganized. will waste your time for sure with odd musings and unrelated tangents. makes it very clear how little she knows. often behind on material. uses the lab time to make up lecture time. doesn't give the big picture so you will have to teach yourself the material. on the upside the exams are pretty easy if you use study guide,2
8224,11341,doctor [instructor] is one of the best professors at [institution]. the class is extremely easy and more for getting you transitioned into the aerospace program. doctor [instructor] is always available to help and genuinely cares about you.,[instructor] is the man he reminds me of my grandpa cause he tells lots of stories but they all have some sort of meaning. he's also a big hunter cancelled class for us today nov 15 firearm deer season cause [institution] is too gay not to. i'm stuck coming to my other classes this afternoon.,1
16273,18233,awesome!!! [emoji],one of the best teachers i've had ever. he tells great stories the whole course is basically lecture. we have one final exam. we have weekly assignments that are really easy. loved the subject material. he knows what he's talking about. loved his lectures. wished it was a bit more interactive. would take him again if i could.,1
8042,4053,professor [instructor] is very passionate about what he does. his teaching style is superb. he understands that students have life outside of college but he also makes you want to read and learn the material. very interesting class. highly recommended,if you want easy a she's not an option. but she's really an enthusiastic teacher and she knows what she's doing. there are a lot of homework and you're expected to turn them in but they're really helpful. she's quite generous in giving grades too and there are many extra credit opportunities!,1
9784,18465,i have taken 2 classes with him. awsome teacher! makes class fun and different than others! gives you plenty of time to work on papers. papers are not long but detailed. follow directions to a t.,he's a little man with a gigantic ego. loves to hear himself talk. definitely knows his stuff but a poor teacher. very poor.,1
13330,678,awsome guy,homework is mostly id's gave 2 tests plus the final also 2 papers and you could rewrite the first one and two presentations tests were not that hard she scaled both test the papers are the most difficult but not the worst class in the world i would really rewrite the first paper if you get a 75 or lower it's worth it,2
16868,14904,had mr [instructor] for au community band and he rocks! he's so funny and really makes the hour and a half go by fast. i encourage everyone to take [instructor] if possible! he's a hoot!,[instructor] is a really nice and knowledgeable lady. she doesn't use the book so i wouldn't waste your money. she is all over the place when it comes to when things are due or whats going on in the class in general. shes really frustrating in regard to any type of class schedule and you have to remind her of things several times.,2
11915,2786,she expects a lot from students but you will learn more from her than any other english proff. very helpful. she loves what she does.,horrible teacher. he was confusing and boring. he graded weird. really was not considerate if you did not understand. dont take him!!!,1
10774,17837,doctor [instructor] is so nice and always willing to answer any?'s anyone ever has. you must do the readings each week for daily quizes and a final paper in which you incorporate an outside source not already used in class. overall very nice and loves promoting class discussion. a few chances for extra credit but overall a good deal of work must be done.,i dont understand him nor do i understand his accent... did not enjoy the winter and missed hall like crazy...,1
2767,7162,he is an amazing professor with great people skills. if you are confused about anything he can clear it up for you within 15 minutes of his office hours. take him if you are a chem major it will also help in the long run he is full of very informative advice.,mr [instructor] puts the fun in mafunmatics! i highly recommend! [profanity] d,
375,9995,he is so intimidating and he makes his students afraid to particiapte in his class. i didn't like him at all and i would advise anyone who gets him to run!!! there are better ones out there!,disrespectful towards students when you ask her a simple question. goes way too fast in lectures and does an awful job preparing you for quizzes. do not take her.,2
17014,9345,i was an exercise science major with the life long dream of attending medical school and eventually becoming the first md in my family. well i went by his office several times about what i could do outside of my academia to improve my chances of entry and to my surprise he told a different answer each visit. reminds of a indescisive woman,he is not a good teacher. he helped write the text book that we used and he loved talking about writing it. he did not teach at an intro level and was not helpful when you had questions. i would not recommend him to anyone!!,2
7909,3362,[instructor] is very difficult so if you're not taking this for future classes beware. he's probably the best out of all 102 profs but you need to do so many extra practice probs to pass. study 1 week before the test no matter what. he can be rude but you need to put it the work. he is the best at concept math balance so if you need future chem do it,one of hardest working professors at [institution]. always very helpful with questions you may have and grades assignments very fast. she makes an active effort to get her students interested in is and the course. always responds to emails very quickly. attendance is mandatory but every student should have her as a professor before graduation.,1
15191,4012,really great and caring teacher. offers videos of all lectures so that you can study. he wants you to understand the material and is always willing to meet for extra help. prefers to call you on the phone to answer questions over emailing. tough grader but completely fair.,hold on tight kids get ready to be bored out of your minds. while your at it get ready to be tested on material that isin't covered. pay close attention to her facial expressions because she'll look at you like your doing something wrong. she's so paranoid about cheating it's actually funny. she is difficult to understand and hard to hear. dont.,1
1109,3526,his favorite word is crap which is kool,horrible. she's mundane and teaches by reading directly off her powerpoints. not to mention you can't understand her powerpoints. does not care if students are interested in material and does not try to make it interesting. would not recommend!!!,2
4454,5376,he brags about his accomplishments a lot instead of covering material that needs to be covered. he is always at least 15 minutes late to class but if you leave he holds it against you. he loses assignments frequently and won't take fault even though there are 10 people with missing assignments,i feel bad cuz everyone clowns on him and takes advantage of him. he is a good professor although the class is not very organized... the tests and quizzes are similar and he gives the quiz 2 days before the exam.. homework optional.. take 'em why not,1
6937,3452,good course! not terribly difficult. just make sure if you take the de course you know the assignments really well for your final. and don't bother with the lecture notes too much. professor won't give any answers away but still very helpful!,took 7 week summer class with [instructor]. nice man just goes on very long tangents. we didn't do over half the labs and never had a lab quiz. attendance and labs were worth 40 percent of our grade so you pretty much had to attend. very easy 4.0 but did not feel i got my moneys worth.,1
15637,10984,the most unhappiest women i have ever seen! she does not know to smile!,an intellectual and effective teacher. he is very clear in his teaching and he can provide concrete examples while he is at it. very approachable too. the reading list for this class is massive though. still he is a fair marker when it wasn't the teaching assistant who was marking.,2
10977,13611,doctor [instructor] is honestly one of the kindest people i've ever met. his lectures are very interesting and easy to understand. tests are really fair.,this man is a lunatic. he managed to turn a history class into a literature course. i left his class with less knowledge about the world post 1500s than when i went into it. he does care about his students. however he has one teaching style and that is it. so if you are not on the same wavelength as him prepare to be left in the dark.,1
18844,7083,she sucked..... really bad.... i didnt get any fing help from her at all...,i hardly ever went to class and still made an a. she kind of makes you feel stupid when asking a question but she will answer it. she really knows her stuff and is very good at explaining things. i like math and i really did enjoy her class... the few times that i went.,2
16422,8508,slightly crazier then a can of dried peaches.,great teacher. doesnt rely on book that much and teaches from expierence. has great stories lets us out early and gives a easy take home midterm. great class to take. highly recommended.,2
12149,2724,there is no offer or preliminary negotiation here [instructor] stinks straight up and is rather arrogant to boot,[instructor] is amazing. he is always there if you have questions. he is a professor that truly has the best interest of his students in mind. his class was always interesting and insightful.,2
14764,14619,i love him can't understand him,i have had this teacher for many classes and she is a wonderful teacher. she really helps you write in new and interesting ways. she may require some work out of you but it is well worth it.,2
1669,9894,doctor [instructor] is probably the most awesome teacher i've had my whole life. she is unapologetic about her views and she has no problem telling you why she feels the way she does with facts stats and history. here in ms it's such a refresher to see someone push back with the norm here and really make their students think. so thankful for her!!,the man.. coolest guy ever. such a nice person and very helpful.,1
1264,12175,not a good professor she makes the easiest problems harder than they already look. also she deducts way too many points from homework and tests for a simple mistake. take her at your own risk!,just a very rude person. why mrs [instructor] doesn't fire her and find a better representation of the nursing program is beyond me. i'm sure she's good at what she does but there are many people out there that could do just as well with a better attitude.,
9164,14726,she had a quirky personality but in a good way. not what i expected from her appearance or from someone so young. don't let her looks fool you,skips through power point slides in lecturesthen doesn''t go back to them but moves on to other power points. doesn''t say much towards slides. it''s devastating how she doesn''t give time to write down info from slides. all she says is it''s on blackboard. how are we suppose to learn this way we pay to take the class. for what to teach ourselves,2
6470,7242,blah. this girl doesn't say a damn thing. just nods yes or no. her assignments can be really friggin coool though. but you won't retain anything from her only from working yourself.,i'm one of her creative writing students. i love [instructor]. she's smart funny and sweet and understanding. i'm not in love with the class always. it's not her fault it's the class. the talent level varies wildly and i feel like we focus on the poor writers significantly more. i'd like a higher level of talent in the class.,2
8247,17757,[instructor] is awesome! he is very easy to understand and he puts all his notes online. he is also easy to talk to and very understanding if you need help.,you can tell by the way the person above spelled extremely.. they just may not be that smart her class was fine. you just need to go,1
358,2533,very nice and generous professor considering he was also submitting a major grant during our class term. he is very clear about what will be on midterms. does not offer review sessions.,she is the devil! if you don't agree with her you are wrong and will suffer the consequences.,1
8290,9077,his lectures are not very helpful with his poor handwriting and angry demeanor. he was not very helpful during office hours. he posts online notes that are typed and easier to follow along. he does offer good review before each tests to give an idea of what will be on tests. lots of homework but only worth 5 percent of grade.,shes horrible i would never take her again,1
16464,10401,i don't even have [instructor] for a class he is the coordinator of the acting program and almost everyone seems to love him... they say he's a genius so that's good but they also say that if you love [instructor] you hate [second instructor]  which is so inconceivable.,i really liked her. i had her twice and she made me think. she does play favorites however but if you participate she will like you. she is more about the thought behind things than the technicality of the work you do.,2
17349,7018,i really wish some other professor would teach intro to global studies. i was forced into taking [instructor] for my minor. his lectures were rambling and vague. 90 percent of the class time was spent doing 20 minute presentations that weren't explained very well. honestly they just felt like an excuse for him to have us teach the class instead of him.,i found him to be very animated and entertaining. show up for class. participate and take the online practice quizzes before his tests and you will do fine in his class. the one negative i had with him is all his examples are church related so if your not a christian his examples wont make sense to you. ask the right questions to get around that.,1
6145,9092,i loved ms [instructor]!! great teacher!!!,in his ethics class he really pushes peoples buttons to spur discussion. he is quite conservatice politicaly and occasionaly comes off as homophobic. sometimes it seems as though he is pushing christianity onto the class. overall his class is good.,1
13508,4794,nice man and really knows his stuff. but if you're looking to take an easy class that sounds interesting find a different one. he's too smart to teach this gen ed class.,brutal professor... lectures were sooo boring.. the course itself wasn't that bad but she made it super boring! [instructor] the seminar leader rocked thou!!,1
784,3990,he's ok. i thought he was lazy. had us write a bunch of papers he'll not give back. but if you do the work and attend class you'll be ok as i am sure i am getting my a. i think he is retiring after this spring semester.,he didn't have a syllabus for the course so you would find out on monday that you had a big reading assignment for wed. no good. he also would say read selections from a book and not assign specific pages and then he would be disappointed if you didn't read something he wanted you to. avoid,2
14987,5598,he's good stuff.... a little odd but alright in general can be purdy funny at times as well.,great teacher very enthusiastic and genuinely cares about his students. great guy. one of my favorite teachers i've had.,2
17161,15141,love this woman!!,not only this professor [instructor] the best professor at[institution] y but he's the most articulate and most calculated with his words. will not bore you with social and cultural history. 10/10!,2
18318,16452,two words drag queen! she always sits there sucking on her teeth and sighing throughout the student's entire speech. she is a mess in a designer dress despite shoddy attempts at professionalism and is always complaining about her medication! she is an attendance hound but missed 5 days herself last semester. avoid at all cost!,i took [instructor]'s classes 20 years ago when he first came to [institution]. i am back in college again after lo these many years and still [instructor]'s teaching remains impactful. his clarity passion and adventurous spirit along with his no bs modality of keeping things moving and challenging are even more valuable now as i look back. best of the best this one.,1
9273,4076,hands down best professor! do not isten to toerhs when they say he is a hard professor. if you are there to learn and put the effort in you will succeed! study study his notes.. the answers are there i promise. he will teach you what you need to know and he is fair. he will not give you copies of the notes so go to class!,i miss [instructor]! [emoji],1
10255,4161,the rumors are true she is a very difficult woman. but if you need chem for your degree you can't avoid her she is the senior lab instruction for 1st yr labs and the 'prof' for 091 though you have to teach yourself everything its online. be prepared get your work in on time and hope for the best its not likely she'll have any grace [emoji],[instructor] is the man! very intelligent and knowledgeable though he has a hard time making his point clear sometimes. read the material and ask questions and you'll do just fine. above all participate and you'll do well.,2
11290,16997,i also took art 208 with [instructor]! he's soooo awesome! and very helpful... [instructor] rocks my world! gosh!,i had her for summer c at [institution]. it was ridiculously fast paced and i got lost since she is very hard to follow. i ended up relying on the videos that [instructor] put up on her website. if you can take [instructor] instead! but if you are very sharp and attentive and do the online homework religiously then you should be fine.,1
14407,16247,good new guys!! i heard he's retiring! he is boring and useless. he has cancelled class about 6 times and does not notify us i'm a commuter and he is not considerate at all to his students.,she is the best. she is easy and funny. it s really easy to get an a in this class. there are 2 homework in this class and one project they r easy to do. there r 2 tests and she gives u the study guide for them. i highly recommend her,2
10875,11699,extremely immature,i was really excited to take this course but it didn't live up to my hopes. the professor is obviously interested in what he's doing but he doesn't succeed in making lectures interesting at all. those who attend usually sleep. and the tests are not related to lecture material.,2
17162,12761,this class requires lots of study and memorization. you will have to be able to label maps and talk about things in lengthy detail. 2 papers were required in this course and also 2 quizes and 2 test. you will have 7 reading respoces that will have about 5 questions to them. they are woth 25 points each. doctor [instructor] is a great teacher!!,she's alright although i didn't like some of the biases she showed in class. it was always religion says women are bad and men are dominant blah blah blah. it got old after a while but the course is easy. she also offers extra credit opport,1
1416,16821,great and interesting class. [instructor] clearly enjoys the material. great hazard movies. must actually read the book though.,this is the worst professor! lost my portfolio! gave me a b in the class for no reason i haven't had a b since my freshman year...,1
18050,18881,why were most of the recent bad reviews deleted? [instructor] is probs reporting all these lol,doctor [instructor] was tough but a great clinical instructor. she didn't make it easy but she respected that we were students and would tell us if we were making mistakes. she was very good about being professional when telling you about mistakes. she always had you step off the floor for comments. i learned a lot from her and i am very thankful.,2
17782,3190,the guy was an a hole not only was he my professor he was my advisr the guy would sidtrak al the time in class and flirt wit grls in the clas he was corny didnt xplain nuting as an advisr evn wors my fresman yr. i went to him not nowin nutin and insted of helpin me pik clases and telin me bout them he jus circled clases and tol me to take them with o xplainin them,[instructor] is great. she's really passionate about her field and her knowledge and research is impressive. she wants you to be as passionate about the information as she is. she's clear about assignments and will gladly clarify. that being said there is so much information to memorize for exams and her tests cover a lot of material.,2
