clause_id,silver_label
215,instructional_effectiveness
216,misc
217,misc
218,misc
219,instructional_effectiveness
220,workload
221,workload
222,instructional_effectiveness
223,misc
224,misc
225,instructional_effectiveness
226,misc
227,misc
228,misc
229,misc
230,instructional_effectiveness
231,instructional_effectiveness
232,instructional_effectiveness
233,misc
234,instructional_effectiveness
235,misc
236,workload
237,misc
238,misc
239,instructional_effectiveness
240,instructional_effectiveness
241,workload
242,workload
243,fairness
244,misc
245,instructional_effectiveness
246,instructional_effectiveness
247,instructional_effectiveness
248,misc
249,instructional_effectiveness
250,misc
251,instructional_effectiveness
252,instructional_effectiveness
253,misc
254,misc
255,misc
256,workload
257,workload
258,fairness
259,fairness
260,misc
261,misc
262,misc
263,misc
264,misc
265,instructional_effectiveness
266,instructional_effectiveness
267,fairness
268,instructional_effectiveness
269,misc
270,instructional_effectiveness
271,misc
272,workload
273,misc
274,misc
275,misc
276,instructional_effectiveness
277,instructional_effectiveness
278,instructional_effectiveness
279,instructional_effectiveness
280,instructional_effectiveness
281,instructional_effectiveness
282,instructional_effectiveness
283,instructional_effectiveness
284,misc
285,fairness
286,misc
287,misc
288,misc
289,misc
290,misc
291,misc
292,instructional_effectiveness
293,instructional_effectiveness
294,workload
295,instructional_effectiveness
296,instructional_effectiveness
297,instructional_effectiveness
298,instructional_effectiveness
299,workload
300,workload
301,workload
302,misc
303,misc
304,workload
305,fairness
306,workload
307,workload
308,fairness
309,instructional_effectiveness
310,instructional_effectiveness
311,misc
312,misc
313,misc
314,misc
315,misc
316,instructional_effectiveness
317,misc
318,misc
319,misc
320,misc
321,misc
322,workload
323,instructional_effectiveness
324,instructional_effectiveness
325,workload
326,workload
327,instructional_effectiveness
328,fairness
329,misc
330,misc
331,misc
332,fairness
333,fairness
334,instructional_effectiveness
335,misc
336,misc
337,workload
338,misc
339,misc
340,workload
341,instructional_effectiveness
342,workload
343,workload
344,instructional_effectiveness
345,workload
346,workload
347,workload
348,instructional_effectiveness
349,fairness
350,instructional_effectiveness
351,misc
352,workload
353,workload
354,workload
355,workload
356,instructional_effectiveness
357,instructional_effectiveness
358,instructional_effectiveness
359,instructional_effectiveness
360,workload
361,instructional_effectiveness
362,instructional_effectiveness
363,instructional_effectiveness
364,instructional_effectiveness
365,workload
366,workload
367,instructional_effectiveness
368,misc
369,instructional_effectiveness
370,workload
371,misc
372,instructional_effectiveness
373,misc
374,instructional_effectiveness
375,workload
376,instructional_effectiveness
377,misc
378,misc
379,instructional_effectiveness
380,fairness
381,misc
382,workload
383,misc
384,misc
385,misc
386,instructional_effectiveness
